K456,오이도,0
K455,정왕,2.5
K454,신길온,5.5
K453,안산,8.5
K452,초지,11.5
K451,고잔,14.0
K450,중앙,16.0
K449,한대앞,18.5
K448,상록수,20.5
K447,반월,24.0
K446,대야미,26.5
K445,수리산,30.0
K444,산본,32.0
K443,금정,36.5
K442,범계,40.0
K441,평촌동,42.0
K440,인덕원,44.5
K439,과천청,48.0
K438,과천,50.0
K437,대공원,52.0
K436,경마공,54.0
K435,선바위,56.0
K434,남태령,59.0
K433,사당,61.5
K432,총신대,63.5
K431,동작,66.5
K430,4이촌,70.0
K429,신용산,72.5
K428,삼각지,74.0
K427,숙대입,76.0
K426,4서울,78.0
K425,회현,80.0
K424,명동,81.5
K423,4충무,83.0
K422,4동운,85.5
K421,4동대,87.0
K420,혜화,89.5
K419,한성대,91.5
K418,성신여,93.5
K417,길음,96.0
K416,미아4,98.5
K415,미아,101.0
K414,수유,103.0
K413,쌍문,105.5
K412,4창동,108.0
K411,노원,110.0
K410,상계,112.0
K409,당고개,115.0
